,common_name,temperature_germination,temperature_growing,days_germination,days_harvest,ph_range,ph,chalk,clay,loam,peat,sand,silt,water_code,nutrients_code,temperature_class_code,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,season_biennial,season_mixed,season_perenial,season_perennial,season_unknown
95,Blueberry,26.0,18.5,4.0,70.0,1.0,5.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
96,Cherry,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
97,Cranberry,26.0,18.5,4.0,70.0,1.0,5.5,0,0,0,0,0,0,4,2,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
98,Fig,26.0,18.5,4.0,70.0,0.5,6.25,1,1,1,1,1,1,3,4,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
99,Gooseberry,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
100,Grape,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
101,Hazel,26.0,18.5,4.0,70.0,1.0,7.0,0,0,0,0,1,0,3,2,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
102,Hops,26.0,18.5,4.0,70.0,1.5,7.25,0,0,0,0,0,0,3,4,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
103,Kiwi,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
104,Lemon,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
105,Lime,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
106,Loganberry,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
107,Nectarine,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
108,Orange,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
109,Peach,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
110,Pear,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
111,Persimmon,26.0,18.5,4.0,70.0,1.0,6.0,0,0,0,0,0,0,3,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
112,Plum,26.0,18.5,4.0,70.0,2.0,7.0,0,0,0,0,0,0,3,3,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
113,Pomagranate,26.0,18.5,4.0,70.0,1.0,5.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
114,Raspberry,26.0,18.5,4.0,70.0,1.0,6.0,0,0,0,0,0,0,3,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
115,Redcurrant,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
116,Walnut,26.0,18.5,4.0,70.0,2.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
117,White currant,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
118,Chestnut,26.0,18.5,4.0,70.0,0.5,5.75,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
119,Honey Berry,26.0,18.5,4.0,70.0,2.0,6.0,0,0,0,0,0,0,3,2,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
120,Calendula,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,1,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
121,Catnip,26.0,18.5,4.0,70.0,1.5,6.75,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
122,Chamomile (Roman chamomile),26.0,18.5,4.0,70.0,2.0,6.5,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
123,Valerian,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
124,Comfrey,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,1,4,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
125,Coriander,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
126,Dill,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,3,2,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
127,Thyme,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
128,Feverfew,26.0,18.5,4.0,70.0,2.0,7.0,1,1,1,1,1,1,1,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
129,Horseradish,26.0,18.5,4.0,70.0,2.5,6.25,0,0,0,0,0,0,3,2,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
130,Lemon Grass,26.0,18.5,4.0,70.0,3.0,6.5,0,0,0,0,0,0,4,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
131,Marjoram,26.0,18.5,4.0,70.0,2.0,7.0,0,0,0,0,0,0,1,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
132,Mint,26.0,18.5,4.0,70.0,1.0,7.5,0,0,0,0,0,0,1,1,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
133,Oregano,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,1,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
134,Parsley,26.0,18.5,4.0,70.0,2.0,6.0,0,0,0,0,0,0,3,2,4,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
135,Rosemary,26.0,18.5,4.0,70.0,1.0,5.5,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
136,Sage,26.0,18.5,4.0,70.0,1.0,6.0,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
137,Tarragon (French),26.0,18.5,4.0,70.0,1.0,7.0,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
138,Strawberry,26.0,18.5,4.0,70.0,1.0,6.0,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
139,Lemon balm,26.0,18.5,4.0,70.0,1.5,6.75,0,0,0,0,0,0,3,1,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
